#assembly_accession	genome_size	thermo_class	IR Counts	IR Density
GCF_000020825.1	2885038	Mesophiles	120	41.59390621544673
GCF_036347775.1	3638430	Mesophiles	917	252.0317829393447
GCF_001617605.1	3420739	Mesophiles	497	145.2902428393397
GCF_020138535.1	3026166	Mesophiles	697	230.32444353680532
GCF_000284015.1	4875340	Mesophiles	558	114.45355605967994
GCF_022700975.1	4215563	Mesophiles	746	176.9633142714271
GCF_001663155.1	2673978	Mesophiles	68	25.43027653929838
GCF_030253455.1	5282709	Mesophiles	553	104.68113992271768
GCF_016801025.1	4629545	Mesophiles	383	82.72951229548477
GCF_002290085.1	854780	Mesophiles	147	171.97407520063643
GCF_002763915.1	2643576	Mesophiles	310	117.26540110819587
GCF_031760945.1	3834459	Thermophiles	338	88.14802818337607
GCF_033723955.1	4194096	Mesophiles	456	108.72426382228733
GCF_014705925.2	2660019	Mesophiles	314	118.04426960860054
GCF_003315755.1	4588510	Mesophiles	914	199.1932021505892
GCF_014844635.1	3261108	Mesophiles	464	142.28292960552056
GCF_016904155.1	3373067	Mesophiles	254	75.30238800474464
GCA_029762135.1	4113761	Mesophiles	701	170.4036768300346
GCF_003074775.2	3768776	Mesophiles	494	131.07703933584804
GCF_005280315.1	7426165	Mesophiles	810	109.07379515537293
GCF_020525925.1	5507230	Mesophiles	669	121.4766770227501
GCF_027946175.1	1940884	Thermophiles	104	53.583830872942436
GCF_033556905.1	6030129	Mesophiles	492	81.59029433698682
GCF_002891985.1	4124503	Mesophiles	295	71.52376904562804
GCF_021052325.1	6969233	Mesophiles	595	85.37524861057163
GCF_017355045.1	2382565	Mesophiles	294	123.39642360229416
GCF_002201995.1	4169187	Mesophiles	731	175.3339440039509
GCF_022700995.1	6223221	Mesophiles	1689	271.40286356534665
GCF_032598945.1	4156213	Mesophiles	731	175.88126498810334
GCF_034375205.1	3322597	Mesophiles	180	54.17449061682774
GCF_001941385.1	1915344	Thermophiles	263	137.31214862708737
GCF_024172345.1	2571134	Mesophiles	244	94.89976018363882
GCF_020412405.1	6280686	Mesophiles	371	59.069980572185905
GCF_003795145.1	2732026	Mesophiles	268	98.09569894283582
GCF_020229655.1	2791217	Mesophiles	340	121.81066538359433
GCF_002953355.1	5131801	Mesophiles	921	179.46915712437018
GCF_030028355.1	2432733	Mesophiles	329	135.2388445423316
GCF_000014385.1	1780517	Mesophiles	192	107.83384825867992
GCF_002393525.1	4610090	Mesophiles	274	59.43484834352475
GCA_021655395.1	6018427	Mesophiles	1658	275.48726602482674
GCF_026153475.1	4356867	Mesophiles	748	171.68300065161503
GCF_030123025.1	4335104	Mesophiles	711	164.00990610605882
GCF_002221505.1	4274777	Mesophiles	641	149.94934238674907
GCF_000092405.1	2405559	Thermophiles	118	49.053047545289886
GCA_026874105.1	5909232	Mesophiles	1540	260.6091620704687
GCF_017815515.1	3822311	Mesophiles	366	95.75358990935065
GCF_003627995.1	3002429	Mesophiles	311	103.58279912697353
GCF_006494775.1	6220618	Mesophiles	750	120.5667989900682
GCF_001902555.1	4204050	Mesophiles	742	176.49647363851525
GCF_034428235.1	5166355	Mesophiles	790	152.91244988004115
